"Subject" "Activity" "LinearAccelX" "LinearAccelY" "LinearAccelZ" "AngularVelocX" "AngularVelocY" "AngularVelocZ"
"Subject 7" "WALKING_DOWNSTAIRS" "3.3655530e-001" "-2.9795130e-002" "-1.2673885e-001" "-2.0408588e-001" "-3.9806918e-001" "-1.8711654e-002"
"Subject 7" "WALKING_DOWNSTAIRS" "3.3805720e-001" "-1.8115608e-002" "-1.1645124e-001" "" "3.2917794e-001" "-2.3781558e-001"
"Subject 7" "WALKING_DOWNSTAIRS" "2.4282283e-001" "" "3.4320310e-002" "-1.1645148e-001" "" "1.6838083e-001"
"Subject 7" "WALKING_DOWNSTAIRS" "1.5153105e-001" "" "1.3647413e-002" "-8.9312048e-002" "" "6.6114255e-002"
"Subject 7" "WALKING_DOWNSTAIRS" "1.9596754e-001" "" "3.6867352e-003" "-3.9881638e-002" "" "2.8258772e-002"
"Subject 7" "WALKING_DOWNSTAIRS" "1.7134870e-001" "-1.1861285e-002" "-8.6055664e-002" "" "1.6760353e-001" "-2.3368462e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.8463596e-001" "-3.7816401e-002" "-1.7077877e-001" "-3.2845785e-001" "-4.1130645e-001" "-1.8491318e-001"
"Subject 7" "WALKING_UPSTAIRS" "1.7489386e-001" "-3.1097480e-002" "-7.7814761e-002" "-4.0198585e-001" "-3.5601258e-001" "-2.0047257e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.3275459e-001" "-2.3154151e-002" "-1.5195503e-001" "-3.9290744e-001" "-3.4771967e-001" "-2.2741761e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.1663465e-001" "-3.0673582e-002" "-9.0453578e-002" "-3.1815000e-001" "-3.3757530e-001" "-1.9676440e-001"
"Subject 7" "WALKING_UPSTAIRS" "4.0741503e-001" "-2.6040371e-002" "-1.1328148e-001" "-2.7351710e-001" "-1.2584143e-001" "-2.6799236e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.2504190e-001" "-9.1264496e-002" "-3.6960062e-001" "-1.2719559e-001" "-3.2877187e-001" ""
"Subject 7" "WALKING_UPSTAIRS" "1.7955558e-001" "" "4.3675783e-003" "-1.0592520e-001" "-4.0069744e-001" "-2.7210740e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.0484610e-001" "-1.1337061e-002" "-9.8854137e-002" "-2.7541149e-001" "-1.8809036e-001" "-2.4511839e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.1093439e-001" "-3.1810125e-002" "-7.9098940e-002" "-4.0279585e-001" "-4.1787698e-001" "-2.0083415e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.8118815e-001" "" "9.5394944e-003" "-2.9923990e-002" "-3.0175502e-001" "-1.6925431e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.8102369e-001" "-6.5318115e-003" "-7.3545218e-002" "-3.7349665e-001" "-3.9202436e-001" "-2.2165402e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.6375521e-001" "" "1.9033304e-003" "-8.7165760e-002" "-3.4050967e-001" "-3.9241981e-001"
"Subject 7" "WALKING_UPSTAIRS" "1.5241797e-001" "-1.3600814e-002" "-1.0878831e-001" "-3.8308759e-001" "-4.8619538e-001" "-1.5038268e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.2389893e-001" "" "1.2722500e-002" "-8.0995394e-002" "-3.3853023e-001" "-3.6018529e-001"
"Subject 7" "WALKING_UPSTAIRS" "4.1759454e-001" "-1.3292323e-002" "-9.2125552e-002" "-2.4890688e-001" "-3.7319654e-001" "-1.4347436e-002"
"Subject 7" "WALKING_UPSTAIRS" "2.1199039e-001" "-1.4421867e-002" "-1.6593968e-001" "-3.5903155e-001" "-4.3702201e-001" "-2.0696875e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.1615737e-001" "-4.1530411e-002" "-1.4107724e-001" "-2.6853327e-001" "-2.1860345e-001" "-2.1360652e-001"
"Subject 7" "WALKING_UPSTAIRS" "1.9202015e-001" "-4.6256083e-003" "-1.3180045e-001" "-3.4226508e-001" "-2.5113363e-001" "-2.7945644e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.4174825e-001" "-2.4194897e-002" "-1.1433096e-001" "-3.1116590e-001" "-2.4968552e-001" "-2.3663690e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.2984727e-001" "-3.6106198e-002" "-1.1835389e-001" "-3.8331454e-001" "-4.1327936e-001" "-2.0273989e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.1495551e-001" "-3.5509514e-002" "-1.5118218e-001" "-4.0208295e-001" "-2.9227920e-001" "-1.4452959e-001"
"Subject 7" "WALKING_UPSTAIRS" "1.0524548e-001" "-5.4457120e-002" "-3.6468792e-001" "-2.4032677e-001" "-4.0056585e-001" "-1.1593434e-001"
"Subject 7" "WALKING_UPSTAIRS" "5.5138153e-002" "-6.7380867e-002" "-3.1082895e-001" "-2.2076962e-001" "-2.8938205e-001" ""
"Subject 7" "WALKING_UPSTAIRS" "3.9220723e-001" "-1.9427684e-002" "-1.5052512e-001" "-3.1815563e-001" "-2.9690751e-001" "-2.7547457e-002"
"Subject 7" "WALKING_UPSTAIRS" "2.4625486e-001" "-3.9082165e-002" "-1.1468448e-001" "-3.1845295e-001" "-3.3647472e-001" "-3.5990906e-003"
"Subject 7" "WALKING_UPSTAIRS" "3.1333544e-001" "-7.7606671e-003" "-1.5116372e-001" "-3.2149550e-001" "-4.5433205e-001" "-4.6459803e-002"
"Subject 7" "WALKING_UPSTAIRS" "2.6105771e-001" "-2.7986949e-002" "-7.6759629e-002" "-3.2052473e-001" "-3.9989291e-001" "-2.5329238e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.2936233e-001" "-7.5676230e-003" "-1.1990759e-001" "-2.8960659e-001" "-2.1873980e-001" "-2.6371265e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.9529762e-001" "-3.8199620e-002" "-1.4888651e-001" "-3.5521489e-001" "-3.6292517e-001" "-1.4020955e-001"
"Subject 7" "WALKING_UPSTAIRS" "1.3452444e-001" "-2.7410933e-002" "-1.3388414e-001" "-2.9971334e-001" "-3.3221974e-001" "-2.1527705e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.4791234e-001" "" "2.4222825e-002" "-9.4164560e-002" "-2.9126133e-001" "-4.0219780e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.7599575e-001" "-6.3431782e-003" "-7.4691047e-002" "-2.5469983e-001" "-3.0282731e-001" "-2.4398281e-001"
"Subject 7" "WALKING_UPSTAIRS" "5.7378168e-002" "-1.2912884e-001" "-3.3382730e-001" "-1.5385151e-001" "-1.3055052e-001" "-1.8084888e-001"
"Subject 7" "WALKING_UPSTAIRS" "1.9893411e-001" "-4.1648891e-002" "-2.0871919e-001" "-2.4839367e-001" "-4.1812486e-001" "-2.6883996e-002"
"Subject 7" "WALKING_UPSTAIRS" "3.1865732e-001" "-2.3410322e-002" "-7.7431400e-002" "-3.1208519e-001" "-4.5047455e-001" "-1.8094457e-001"
"Subject 7" "WALKING_UPSTAIRS" "1.1356913e-001" "-8.0846447e-002" "-3.1846310e-001" "-4.8639455e-002" "-2.7039337e-001" "-1.9066363e-002"
"Subject 7" "WALKING_UPSTAIRS" "2.5415043e-001" "" "9.9532630e-003" "-6.7768216e-002" "-2.7908552e-001" "-2.4298358e-001"
"Subject 7" "WALKING_UPSTAIRS" "1.3592038e-001" "-2.0143327e-002" "-1.5513430e-001" "-2.8672474e-001" "-4.3426880e-001" "-8.1990928e-002"
"Subject 7" "WALKING_UPSTAIRS" "1.7423799e-001" "-2.4767390e-002" "-1.0830757e-001" "-3.5970931e-001" "-4.8196375e-001" "-9.2864166e-002"
"Subject 7" "WALKING_UPSTAIRS" "1.7176011e-001" "-1.8643613e-002" "-9.1460942e-002" "-2.8395950e-001" "-2.4885624e-001" "-2.8739833e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.8618606e-001" "-4.9947230e-002" "-1.1711350e-001" "-3.5254309e-001" "-3.1005853e-001" "-2.4437286e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.9329743e-001" "" "1.0753262e-002" "-1.4689336e-001" "-2.6007902e-001" "-3.7091598e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.0474264e-001" "" "5.5413298e-003" "-1.0084318e-001" "-2.6731858e-001" "-2.6477164e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.0329341e-001" "-4.2189203e-002" "-1.8050100e-001" "-7.1607242e-002" "-2.8043037e-001" "-1.0164633e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.2866996e-001" "-4.7047814e-002" "-1.0118168e-001" "-2.9721604e-001" "-3.1112196e-001" "-2.6420959e-001"
"Subject 7" "WALKING_UPSTAIRS" "3.2444216e-001" "-4.3164392e-002" "-9.9708711e-002" "-3.5164150e-001" "-3.6877749e-001" "-1.4373491e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.3739187e-001" "" "6.4671126e-003" "-9.1208786e-002" "-3.3861387e-001" "-2.9583551e-001"
"Subject 7" "WALKING_UPSTAIRS" "2.3497768e-001" "-6.7795211e-002" "-2.1121582e-001" "-1.7254834e-001" "-2.7991821e-001" "-7.8919524e-002"
"Subject 7" "WALKING_UPSTAIRS" "6.2630676e-002" "-6.2838581e-002" "-3.3460028e-001" "-1.7067728e-001" "-3.6513268e-001" ""
"Subject 7" "WALKING_UPSTAIRS" "1.6640903e-001" "-5.8462262e-002" "-2.1667026e-001" "-3.5042360e-001" "-3.4705165e-001" "-1.0865630e-002"
"Subject 7" "WALKING_UPSTAIRS" "3.9776368e-001" "-1.2572184e-002" "-7.8030728e-002" "-2.2938512e-001" "-1.4548565e-001" "-6.9180175e-002"
"Subject 8" "LAYING" "2.8410204e-001" "-2.5082992e-002" "-1.0669241e-001" "-9.5663895e-001" "-9.7298037e-001" "-9.4403484e-001"
"Subject 8" "LAYING" "2.7955543e-001" "-1.7815454e-002" "-1.1039980e-001" "-9.9535125e-001" "-9.9051141e-001" "-9.8472988e-001"
"Subject 8" "LAYING" "2.7320377e-001" "-1.9454394e-002" "-1.0282710e-001" "-9.8930667e-001" "-9.9050233e-001" "-9.9259093e-001"
"Subject 8" "LAYING" "2.7582024e-001" "-1.5805538e-002" "-1.0740303e-001" "-9.9671016e-001" "-9.9365543e-001" "-9.9161022e-001"
"Subject 8" "LAYING" "2.6511027e-001" "-1.5065119e-002" "-1.0864109e-001" "-9.0043288e-001" "-9.4365453e-001" "-9.0891622e-001"
"Subject 8" "LAYING" "1.9621687e-001" "-4.5141339e-002" "-8.9803963e-002" "-9.2257942e-001" "-9.0137955e-001" "-9.5505153e-001"
"Subject 8" "LAYING" "2.7804871e-001" "-1.6486542e-002" "-1.0810704e-001" "-9.9691330e-001" "-9.9137752e-001" "-9.8933796e-001"
"Subject 8" "LAYING" "2.6486367e-001" "-1.4710648e-002" "-1.0688014e-001" "-9.8974813e-001" "-9.7932163e-001" "-9.7858012e-001"
"Subject 8" "LAYING" "2.4183104e-001" "-4.1390217e-002" "-8.1491222e-002" "-8.7503202e-001" "-8.5008374e-001" "-9.2839500e-001"
"Subject 8" "LAYING" "2.7723598e-001" "-1.6211633e-002" "-1.0805085e-001" "-9.9614271e-001" "-9.9165453e-001" "-9.9316614e-001"
"Subject 8" "LAYING" "-2.1257043e-002" "-1.5904825e-001" "" "8.2999520e-002" "-4.6060101e-001" "-1.1077130e-001"
"Subject 8" "LAYING" "3.1565206e-001" "" "1.6986224e-004" "-1.3787352e-001" "-9.2413929e-001" "-9.0938388e-001"
"Subject 8" "LAYING" "3.0947248e-001" "-1.1217469e-002" "-1.1051753e-001" "-9.4582974e-001" "-9.5474137e-001" "-9.8396087e-001"
"Subject 8" "LAYING" "2.7694629e-001" "-1.7410501e-002" "-1.1054808e-001" "-9.4919358e-001" "-9.6228524e-001" "-9.8879762e-001"
"Subject 8" "LAYING" "2.6511616e-001" "" "1.1963731e-002" "-1.2294512e-001" "-9.4819073e-001" "-8.7457583e-001"
"Subject 8" "LAYING" "2.7775354e-001" "-1.6446998e-002" "-1.1056393e-001" "-9.9505910e-001" "-9.9008782e-001" "-9.8196456e-001"
"Subject 8" "LAYING" "2.7874304e-001" "-1.6890745e-002" "-1.0656173e-001" "-9.9382497e-001" "-9.9057207e-001" "-9.9376735e-001"
"Subject 8" "LAYING" "3.0007490e-001" "-1.3427778e-002" "-1.1406106e-001" "-9.4629051e-001" "-9.4174248e-001" "-8.2368521e-001"
"Subject 8" "LAYING" "2.7707567e-001" "-1.8039482e-002" "-1.0420478e-001" "-9.9465994e-001" "-9.9407422e-001" "-9.9449778e-001"
"Subject 8" "LAYING" "2.6253473e-001" "-2.5469552e-002" "-1.0258128e-001" "-9.6504539e-001" "-9.6769527e-001" "-9.8239278e-001"
"Subject 8" "LAYING" "2.6764216e-001" "-2.1929329e-002" "-1.0559489e-001" "-9.5570869e-001" "-9.5352286e-001" "-9.7797165e-001"
"Subject 8" "LAYING" "2.7442966e-001" "-1.7100912e-002" "-1.0499792e-001" "-9.9447584e-001" "-9.9176127e-001" "-9.9122377e-001"
"Subject 8" "LAYING" "2.7151667e-001" "-9.7732079e-003" "-1.1392092e-001" "-9.7772071e-001" "-9.6547784e-001" "-9.5649928e-001"
"Subject 8" "LAYING" "2.7545819e-001" "-1.9437088e-002" "-1.1000555e-001" "-9.4760629e-001" "-9.5643877e-001" "-9.9049207e-001"
"Subject 8" "LAYING" "2.7602860e-001" "-1.7140818e-002" "-1.0633360e-001" "-9.9512395e-001" "-9.9376620e-001" "-9.8997356e-001"
"Subject 8" "LAYING" "2.8335524e-001" "-1.6797850e-002" "-1.1057312e-001" "-9.9529036e-001" "-9.9392144e-001" "-9.9682150e-001"
"Subject 8" "LAYING" "2.7841183e-001" "-1.6790073e-002" "-1.1020309e-001" "-9.9290763e-001" "-9.9313120e-001" "-9.8731345e-001"
"Subject 8" "LAYING" "2.8716981e-001" "-1.6163889e-002" "-1.0762620e-001" "-9.3167769e-001" "-9.4931086e-001" "-9.8878028e-001"
"Subject 8" "LAYING" "2.6846403e-001" "-2.2460921e-002" "-1.0647096e-001" "-9.4771819e-001" "-9.5249799e-001" "-9.9118831e-001"
"Subject 8" "LAYING" "2.8364238e-001" "-1.8090939e-002" "-1.0655575e-001" "-9.9518044e-001" "-9.9589635e-001" "-9.8850851e-001"
"Subject 8" "LAYING" "2.4199202e-001" "-3.3678712e-002" "-9.5143496e-002" "-9.5752909e-001" "-9.6829720e-001" "-9.7758504e-001"
"Subject 8" "LAYING" "2.7829992e-001" "-1.6550119e-002" "-1.0867770e-001" "-9.9704818e-001" "-9.9066985e-001" "-9.9292940e-001"
"Subject 8" "LAYING" "2.7885311e-001" "-1.4658601e-002" "-1.1529152e-001" "-9.9506775e-001" "-9.9259046e-001" "-9.9163108e-001"
"Subject 8" "LAYING" "2.6665366e-001" "" "4.1336745e-003" "-1.1272459e-001" "-9.4936177e-001" "-8.6841467e-001"
"Subject 8" "LAYING" "2.3172431e-001" "-2.2969098e-002" "-1.0731258e-001" "-9.4393306e-001" "-9.6285391e-001" "-9.8348359e-001"
"Subject 8" "LAYING" "2.8286688e-001" "-1.8566478e-002" "-1.1031554e-001" "-9.9650816e-001" "-9.8916426e-001" "-9.8918147e-001"
"Subject 8" "LAYING" "2.6112462e-001" "-2.2178978e-002" "-1.0683068e-001" "-9.4845377e-001" "-9.5937064e-001" "-9.9324846e-001"
"Subject 8" "LAYING" "1.9844920e-001" "-2.6102750e-002" "-9.6657047e-002" "-9.3306974e-001" "-9.4696439e-001" "-9.0629297e-001"
"Subject 8" "LAYING" "3.6528714e-001" "-1.1731823e-002" "-1.1702569e-001" "-9.3707384e-001" "-9.5578709e-001" "-8.9704598e-001"
"Subject 8" "LAYING" "2.2026139e-001" "-2.3718378e-002" "-1.0449423e-001" "-9.3430332e-001" "-9.6230632e-001" "-9.8513215e-001"
"Subject 8" "LAYING" "3.7567476e-001" "-1.5197245e-002" "-1.5873168e-001" "-9.3939802e-001" "-8.9511524e-001" "-9.0874639e-001"
"Subject 8" "LAYING" "2.8030977e-001" "-1.8082727e-002" "-1.0612207e-001" "-9.9382359e-001" "-9.8745669e-001" "-9.8779286e-001"
"Subject 8" "LAYING" "3.7534296e-001" "-5.8260128e-003" "-1.4787820e-001" "-9.2411361e-001" "-9.3247333e-001" "-9.3774635e-001"
"Subject 8" "LAYING" "2.7458679e-001" "-1.6544793e-002" "-1.0600243e-001" "-9.9672878e-001" "-9.9301867e-001" "-9.9310577e-001"
"Subject 8" "LAYING" "2.6828505e-001" "-2.0870782e-002" "-9.8359017e-002" "-9.9278682e-001" "-9.9183174e-001" "-9.8705335e-001"
"Subject 8" "LAYING" "2.3513076e-001" "-3.2625394e-002" "-9.5187088e-002" "-9.5866896e-001" "-9.6259731e-001" "-9.7307089e-001"
"Subject 8" "LAYING" "-4.2080580e-001" "-1.0843520e-001" "" "1.4361353e-001" "-4.3116717e-001" "-4.8136540e-001"
"Subject 8" "LAYING" "2.7566952e-001" "-1.9273688e-002" "-1.0505778e-001" "-9.3710277e-001" "-9.5373514e-001" "-9.8920356e-001"
"Subject 8" "LAYING" "4.8683800e-001" "" "3.6752286e-002" "-1.8034055e-001" "-8.7974001e-001" "-8.1197481e-001"
"Subject 8" "LAYING" "2.5419380e-001" "-2.0371646e-002" "-1.0409732e-001" "-9.4533759e-001" "-9.5239681e-001" "-9.8339859e-001"
"Subject 8" "LAYING" "2.9252870e-001" "-1.5111744e-002" "-1.0989895e-001" "-9.2565049e-001" "-9.4006478e-001" "-9.9210996e-001"
"Subject 8" "LAYING" "2.7756612e-001" "-1.9823137e-002" "-1.0735063e-001" "-9.4179405e-001" "-9.5405596e-001" "-9.9364399e-001"
"Subject 8" "LAYING" "2.7832066e-001" "-1.8721332e-002" "-1.0751882e-001" "-9.9621038e-001" "-9.9295735e-001" "-9.8868037e-001"
"Subject 8" "LAYING" "2.8435952e-001" "-1.7502601e-002" "-1.1440951e-001" "-9.9425517e-001" "-9.9188532e-001" "-9.8539232e-001"
"Subject 8" "SITTING" "2.7482347e-001" "-1.3732694e-002" "-1.0051070e-001" "-9.9455866e-001" "-9.8765119e-001" "-9.9305315e-001"
"Subject 8" "SITTING" "2.7244325e-001" "-6.5108486e-003" "-1.1569375e-001" "-9.7856992e-001" "-9.1275831e-001" "-9.7805874e-001"
"Subject 8" "SITTING" "2.8426497e-001" "-1.8814157e-002" "-1.1205534e-001" "-9.9348946e-001" "-9.9379073e-001" "-9.8266817e-001"
"Subject 8" "SITTING" "2.7651391e-001" "-1.6111393e-002" "-1.0561562e-001" "-9.9568700e-001" "-9.8457487e-001" "-9.8761396e-001"
"Subject 8" "SITTING" "2.6790345e-001" "-1.5648718e-002" "-8.4451368e-002" "-9.9415324e-001" "-9.8529930e-001" "-9.5236735e-001"
"Subject 8" "SITTING" "2.7649156e-001" "-1.1371509e-002" "-1.1128462e-001" "-9.9348544e-001" "-9.8481224e-001" "-9.8180482e-001"
"Subject 8" "SITTING" "2.7746419e-001" "-1.4007809e-002" "-9.6205623e-002" "-9.9260703e-001" "-9.7105794e-001" "-9.7423779e-001"
"Subject 8" "SITTING" "2.7654115e-001" "-1.5144952e-002" "-1.0670718e-001" "-9.9455372e-001" "-9.8919333e-001" "-9.8742964e-001"
"Subject 8" "SITTING" "2.8241283e-001" "-1.2931324e-002" "-1.1577380e-001" "-9.9260159e-001" "-9.7548343e-001" "-9.6632726e-001"
"Subject 8" "SITTING" "2.7605345e-001" "-1.6486825e-002" "-1.0838065e-001" "-9.9537910e-001" "-9.8397761e-001" "-9.7585410e-001"
"Subject 8" "SITTING" "2.7082582e-001" "-1.3268152e-002" "-7.5411508e-002" "-9.4100504e-001" "-9.4139313e-001" "-9.0393320e-001"
"Subject 8" "SITTING" "2.7237290e-001" "-1.4553351e-002" "-1.0046345e-001" "-9.9502450e-001" "-9.8565871e-001" "-9.9053162e-001"
"Subject 8" "SITTING" "2.7558898e-001" "-1.0688872e-002" "-1.0783783e-001" "-9.9349096e-001" "-9.8318453e-001" "-9.7861628e-001"
"Subject 8" "SITTING" "2.7209205e-001" "-1.6631752e-002" "-1.0268604e-001" "-9.9635782e-001" "-9.9295492e-001" "-9.8677215e-001"
"Subject 8" "SITTING" "2.7247712e-001" "-7.1181410e-003" "-1.1519769e-001" "-9.9333987e-001" "-9.8286983e-001" "-9.7132927e-001"
"Subject 8" "SITTING" "2.8457600e-001" "-2.0941532e-002" "-1.0688174e-001" "-9.9419848e-001" "-9.8832935e-001" "-9.9061824e-001"
"Subject 8" "SITTING" "2.7478773e-001" "-1.5542073e-002" "-1.0627133e-001" "-9.9444318e-001" "-9.8847703e-001" "-9.9204197e-001"
"Subject 8" "SITTING" "2.8525828e-001" "-1.8159308e-002" "-1.1628474e-001" "-9.9155344e-001" "-9.9022612e-001" "-9.8687254e-001"
"Subject 8" "SITTING" "2.7884778e-001" "-1.6485850e-002" "-1.0902293e-001" "-9.9531591e-001" "-9.8849800e-001" "-9.8879915e-001"
"Subject 8" "SITTING" "2.7373045e-001" "-1.5757166e-002" "-1.0452709e-001" "-9.9661330e-001" "-9.9421890e-001" "-9.9094220e-001"
"Subject 8" "SITTING" "2.8029859e-001" "-1.8718736e-002" "-1.1241496e-001" "-9.9157493e-001" "-9.9277434e-001" "-9.8949072e-001"
"Subject 8" "SITTING" "2.8029774e-001" "-1.7494642e-002" "-1.0947401e-001" "-9.9263786e-001" "-9.9180219e-001" "-9.8044888e-001"
"Subject 8" "SITTING" "2.7350894e-001" "-1.7701017e-002" "-1.0749793e-001" "-9.9660932e-001" "-9.9443603e-001" "-9.8650996e-001"
"Subject 8" "SITTING" "2.7841979e-001" "-1.3191022e-002" "-1.0548285e-001" "-9.9553571e-001" "-9.9118408e-001" "-9.6192952e-001"
"Subject 8" "SITTING" "1.2998991e-001" "" "1.0483888e-001" "" "6.8729374e-002" "-8.9511876e-001"
"Subject 8" "SITTING" "2.7622107e-001" "-1.5411775e-002" "-1.1016991e-001" "-9.9516104e-001" "-9.8768294e-001" "-9.8094459e-001"
"Subject 8" "SITTING" "2.7383245e-001" "-1.4089347e-002" "-1.0834684e-001" "-9.9519925e-001" "-9.8494899e-001" "-9.8253806e-001"
"Subject 8" "SITTING" "2.6265734e-001" "" "3.3490228e-003" "-1.3656841e-001" "-9.8552166e-001" "-9.3399708e-001"
"Subject 8" "SITTING" "2.5226433e-001" "-8.6692230e-003" "-5.7968447e-002" "-9.4750865e-001" "-9.4517435e-001" "-9.1509177e-001"
"Subject 8" "SITTING" "2.8229276e-001" "-2.2769555e-002" "-9.6294846e-002" "-9.8673740e-001" "-9.8440589e-001" "-9.3054465e-001"
"Subject 8" "SITTING" "2.7076041e-001" "-1.1073058e-002" "-1.0688073e-001" "-9.9412240e-001" "-9.8382618e-001" "-9.8152912e-001"
"Subject 8" "SITTING" "2.9600095e-001" "-3.9028088e-002" "-1.7131879e-001" "-9.6983382e-001" "-8.6333215e-001" "-9.0303205e-001"
"Subject 8" "SITTING" "3.8325418e-001" "-6.0821305e-002" "-2.3073639e-001" "-8.8096151e-001" "-6.2653507e-001" "-8.3375492e-001"
"Subject 8" "SITTING" "2.9228398e-001" "-2.1223225e-003" "-1.2172356e-001" "-9.7666846e-001" "-9.0979110e-001" "-9.4312405e-001"
"Subject 8" "SITTING" "2.7619895e-001" "-1.4081247e-002" "-9.3219381e-002" "-9.9529702e-001" "-9.9019705e-001" "-9.7234163e-001"
"Subject 8" "SITTING" "2.8305973e-001" "-2.0522275e-002" "-1.1053481e-001" "-9.9247413e-001" "-9.8109061e-001" "-9.8236304e-001"
"Subject 8" "SITTING" "2.6505139e-001" "-5.8235448e-003" "-1.1212001e-001" "-9.8622206e-001" "-9.4635649e-001" "-9.8426036e-001"
"Subject 8" "SITTING" "2.7925289e-001" "-3.9839274e-002" "-1.5501416e-001" "-9.8485379e-001" "-9.2419045e-001" "-8.8213402e-001"
"Subject 8" "SITTING" "2.7255662e-001" "-1.5492912e-002" "-1.0426384e-001" "-9.9632007e-001" "-9.9598068e-001" "-9.9423058e-001"
"Subject 8" "SITTING" "3.2150855e-002" "" "2.3568715e-001" "-7.7365735e-002" "-8.0349783e-001" ""
"Subject 8" "SITTING" "1.6655551e-001" "" "4.3005178e-002" "-4.5671189e-002" "-9.1178124e-001" "-8.4983995e-001"
"Subject 8" "SITTING" "2.7608520e-001" "-1.3502581e-002" "-1.1527053e-001" "-9.9527255e-001" "-9.8692546e-001" "-9.7231632e-001"
"Subject 8" "SITTING" "2.7453120e-001" "-1.4640764e-002" "-9.5737957e-002" "-9.8410548e-001" "-9.7965160e-001" "-9.5822985e-001"
"Subject 8" "SITTING" "2.6686194e-001" "-1.2836576e-002" "-9.9266328e-002" "-9.9562050e-001" "-9.8576157e-001" "-9.8973214e-001"
"Subject 8" "SITTING" "2.6420227e-001" "-7.7859627e-003" "-7.7829012e-002" "-9.7731327e-001" "-9.6891035e-001" "-9.4929098e-001"
"Subject 8" "SITTING" "2.9054942e-001" "-2.0731863e-002" "-1.1150401e-001" "-9.9282664e-001" "-9.9383222e-001" "-9.8432378e-001"
"Subject 8" "STANDING" "2.7621366e-001" "-2.1643715e-002" "-1.2603957e-001" "-9.9912470e-001" "-9.9182346e-001" "-9.7606682e-001"
"Subject 8" "STANDING" "2.7732183e-001" "-2.2631432e-002" "-1.0611859e-001" "-9.8007165e-001" "-9.3968184e-001" "-8.6895763e-001"
"Subject 8" "STANDING" "2.7612396e-001" "-1.7559202e-002" "-1.0743597e-001" "-9.9768174e-001" "-9.8961029e-001" "-9.8794802e-001"
"Subject 8" "STANDING" "2.7694494e-001" "-1.6508655e-002" "-1.0720186e-001" "-9.9866900e-001" "-9.9525326e-001" "-9.8995249e-001"
"Subject 8" "STANDING" "2.7780382e-001" "-1.4410313e-002" "-9.8215917e-002" "-9.9880370e-001" "-9.9170781e-001" "-9.8337764e-001"
"Subject 8" "STANDING" "2.8019423e-001" "-1.8492742e-002" "-1.0464099e-001" "-9.9881706e-001" "-9.8656137e-001" "-9.7933384e-001"
"Subject 8" "STANDING" "2.7735415e-001" "-1.0843810e-002" "-1.1384395e-001" "-9.9892523e-001" "-9.7638153e-001" "-9.9873542e-001"
"Subject 8" "STANDING" "2.7524866e-001" "-1.1497841e-002" "-9.4792493e-002" "-9.9779010e-001" "-9.7618324e-001" "-9.8119362e-001"
"Subject 8" "STANDING" "2.8589321e-001" "-1.6980724e-002" "-9.3953622e-002" "-9.9208433e-001" "-9.2579982e-001" "-9.7010609e-001"
"Subject 8" "STANDING" "2.7986791e-001" "-1.4616616e-002" "-1.0546753e-001" "-9.9889441e-001" "-9.9636727e-001" "-9.9273619e-001"
"Subject 8" "STANDING" "2.8002521e-001" "-1.6467326e-002" "-9.9706904e-002" "-9.9851047e-001" "-9.8974817e-001" "-9.8035280e-001"
"Subject 8" "STANDING" "2.7666967e-001" "-1.8357824e-002" "-1.0606681e-001" "-9.9744978e-001" "-9.8982747e-001" "-9.9037402e-001"
"Subject 8" "STANDING" "2.7897305e-001" "-1.5556267e-002" "-1.0381623e-001" "-9.9639654e-001" "-9.7952480e-001" "-9.8539280e-001"
"Subject 8" "STANDING" "2.7474643e-001" "-3.7796896e-002" "-1.3497696e-001" "-9.8709813e-001" "-8.9125132e-001" "-9.5070726e-001"
"Subject 8" "STANDING" "2.7665659e-001" "-1.9736700e-002" "-1.2044724e-001" "-9.9897763e-001" "-9.8677461e-001" "-9.6569709e-001"
"Subject 8" "STANDING" "2.8799501e-001" "-2.4978162e-002" "-9.1653013e-002" "-9.9433544e-001" "-9.6452276e-001" "-9.3188790e-001"
